"","x"
"1","yaiB"
"2","apbA"
"3","pagP"
"4","ybiJ"
"5","bssS"
"6","pagC"
"7","SL1344_1186"
"8","SL1344_1197"
"9","sseG"
"10","ydgE"
"11","steA"
"12","steB"
"13","SL1344_1602"
"14","narK"
"15","SL1344_1786"
"16","pagO"
"17","pagK"
"18","SL1344_1872"
"19","pmrD"
"20","virK"
"21","mig-14"
"22","tdcC"
"23","mgtB"
"24","hslS"
"25","cpxP"
"26","SL1344_4014"
"27","SL1344_4015"
"28","mgtA"
"29","AmgR"
"30","RyhB-1"
"31","RyhB-2"
"32","STnc740"
"33","StyR-3"
"34","dnaK"
"35","SL1344_0082"
"36","pagN"
"37","htpG"
"38","ramA"
"39","kdpD"
"40","kdpC"
"41","kdpB"
"42","kdpA"
"43","kdpF"
"44","ydiR"
"45","sufA"
"46","ynhA"
"47","SL1344_1795"
"48","pipB2"
"49","ygaM"
"50","SL1344_2789"
"51","nrdH"
"52","phnO"
"53","cib"
"54","CpxQ"
"55","PinT"
"56","rpmE2"
"57","rpmJa"
"58","ylaC"
